"  50","","","","","","","","","",""
" 公　開　類","","","","","","","",""," 編製機關  勞工保險局",""
" 月　　　報"," 每月終了後45日內編報","","","","","","",""," 表　　號  1811-01-01-04",""
"","",""," 勞工保險各類勞工投保單位及人數 (地區別)","","","","","","",""
"","","","","  中華民國97年10月底","","","","",""," 單位：個、人"
""," 類　　別","","","","","","","","",""
"","","","  產業勞工及交通","","","","  新聞、文化、公益","","  政府機關及公、",""
"","  總　　計","","  公用事業之員工","","  公司、行號之員工","","  及合作事業之員工","","  私立學校之員工",""
" 地　區　別","  單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"
" 總　　　　　計","469390","8887887","127860","2600848","279892","2775076","10235","238401","8483","327491"
" 　臺　 灣　 省","334662","6098615","112682","2128752","179074","1414328","6514","154916","6883","193798"
" 　　臺　北　縣","85002","1251728","29481","407020","47974","400478","1576","26479","728","32291"
" 　　宜　蘭　縣","4587","155388","1290","20701","2127","14751","170","4050","245","6224"
" 　　桃　園　縣","38351","752078","12306","355889","22114","194836","480","15900","539","18535"
" 　　新　竹　縣","6986","206591","2139","106576","3730","43801","166","9471","221","4342"
" 　　苗　栗　縣","6450","151002","2339","57422","2862","22104","159","3686","298","5881"
" 　　臺　中　縣","36174","493185","18741","256674","14343","91112","427","6789","454","12577"
" 　　彰　化　縣","25065","370317","11830","154829","10590","61424","390","11085","441","9554"
" 　　南　投　縣","4830","123981","1389","26780","2138","14789","168","3220","352","7592"
" 　　雲　林　縣","5709","194856","1680","45699","2584","20252","170","3391","363","8435"
" 　　嘉　義　縣","4389","94179","1582","31454","1959","13213","131","5776","278","5446"
" 　　臺　南　縣","16571","378455","6566","177762","7760","60039","352","10160","469","10321"
" 　　高　雄　縣","17582","355999","5712","113231","9524","69533","335","11518","459","11105"
" 　　屏　東　縣","7243","186761","1474","22895","3930","24912","371","4633","472","8921"
" 　　臺　東　縣","2318","40972","367","2516","1247","6694","94","3153","236","4180"
" 　　花　蓮　縣","4451","90635","1006","12283","2378","15736","136","6505","309","6504"
" 　　澎　湖　縣","814","27533","165","1270","408","1477","24","437","125","2349"
" 　　基　隆　市","4332","121399","784","14323","2711","17574","103","2880","147","5053"
" 　　新　竹　市","8458","281110","2180","139210","4951","67374","181","3896","146","7419"
" 　　臺　中　市","34330","438590","6605","105660","23195","182279","596","14386","294","13245"
" 　　嘉　義　市","4806","113186","920","15095","2832","19119","115","2553","104","2899"
" 　　臺　南　市","16214","270670","4126","61463","9717","72831","370","4948","203","10925"
" 　臺　 北 　市","99098","2136437","9535","318029","76203","1160635","3112","72294","1008","113508"
" 　高 　雄 　市","34804","635622","5435","150666","24220","198257","597","11060","449","17409"
" 　金 馬  地 區","826","17213","208","3401","395","1856","12","131","143","2776"
" 　　金　門　縣","687","14922","169","2949","358","1731","9","116","97","2167"
" 　　連　江　縣","139","2291","39","452","37","125","3","15","46","609"
" 公　開　類","","","","","","","",""," 編製機關  勞工保險局",""
" 月　　　報"," 每月終了後45日內編報","","","","","","",""," 表　　號  1811-01-01-04",""
"","",""," 勞工保險各類勞工投保單位及人數 (地區別)(續1）  ˉ","","","","","","",""
"","","","","  中華民國97年10月底","","","","",""," 單位：個、人"
""," 類　　別","","","","","","","","",""
"","  受僱從事漁業","","  職業訓練機構","","","","","","",""
"","  生產之勞動者","","   接受訓練者","","  職業勞工","","  漁會之甲類會員","","  自願投保者",""
" 地　區　別"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"
" 總　　　　　計","478","1692","312","14395","3212","2334585","39","286427","38879","308972"
" 　臺　 灣　 省","46","256","243","11674","2624","1732179","35","254126","26561","208586"
" 　　臺　北　縣","1","7","32","1464","245","322320","5","27040","4960","34629"
" 　　宜　蘭　縣","12","168","9","394","158","84572","2","20354","574","4174"
" 　　桃　園　縣","1","1","27","2073","212","138387","2","1789","2670","24668"
" 　　新　竹　縣","0","0","4","93","83","36698","0","0","643","5610"
" 　　苗　栗　縣","0","0","4","69","98","48062","2","7396","688","6382"
" 　　臺　中　縣","1","1","11","384","169","103686","1","2902","2027","19060"
" 　　彰　化　縣","0","0","14","571","142","100246","1","18103","1657","14505"
" 　　南　投　縣","0","0","10","312","104","62349","1","3692","668","5247"
" 　　雲　林　縣","0","0","7","113","139","83173","1","28223","765","5570"
" 　　嘉　義　縣","0","0","3","5","56","16770","1","19408","379","2107"
" 　　臺　南　縣","0","0","19","1152","140","69383","1","40188","1264","9450"
" 　　高　雄　縣","16","36","11","516","139","123542","5","15674","1381","10844"
" 　　屏　東　縣","1","5","13","235","105","94412","5","21215","872","9533"
" 　　臺　東　縣","2","9","8","295","57","18123","3","4408","304","1594"
" 　　花　蓮　縣","0","0","9","360","91","44961","1","1773","521","2513"
" 　　澎　湖　縣","5","17","1","2","17","7211","1","14233","68","537"
" 　　基　隆　市","3","6","3","61","135","75548","1","2712","445","3242"
" 　　新　竹　市","2","3","13","337","115","47128","1","10006","869","5737"
" 　　臺　中　市","0","0","35","2839","153","95715","0","0","3452","24466"
" 　　嘉　義　市","0","0","5","157","133","66938","0","0","697","6425"
" 　　臺　南　市","2","3","5","242","133","92955","1","15010","1657","12293"
" 　臺　 北 　市","5","44","46","1584","280","396233","0","0","8909","74110"
" 　高 　雄 　市","427","1392","22","1125","293","201596","2","28234","3359","25883"
" 　金 馬  地 區","0","0","1","12","15","4577","2","4067","50","393"
" 　　金　門　縣","0","0","1","12","13","3993","1","3677","39","277"
" 　　連　江　縣","0","0","0","0","2","584","1","390","11","116"
"  公　開　類","","","","","","","","  編製機關","  勞工保險局",""
"  月　　　報"," 每月終了後45日內編報","","","","","","","  表　　號","  1811-01-01-04",""
"","",""," 勞工保險各類勞工投保單位及人數 (業別)(續2)  ˉ","","","","","","",""
"","","","","  中華民國97年10月底","","","","",""," 單位：個、人"
""," 類　　別","","","","","","","","",""
"","","","  產業勞工及交通","","","","  新聞、文化、公益","","  政府機關及公、",""
"","  總　　  計","","  公用事業之員工","","  公司、行號之員工","","  及合作事業之員工","","  私立學校之員工",""
"  業　　別"," 單  位","  人　數","  單  位","  人　數","  單  位"," 人　數"," 單  位"," 人　數","  單  位","  人　數"
" 總　　　　　　　　　　計","469390","8887887","127860","2600848","279892","2775076","10235","238401","8483","327491"
" 　農、林、漁、牧業","1439","362444","687","8037","76","418","47","471","9","92"
" 　礦業及土石採取業","461","4723","453","4139","6","37","0","0","0","0"
" 　製造業","101866","2846468","97937","2176845","3137","113845","24","415","0","0"
" 　水電燃氣業","249","28800","191","25605","51","1808","0","0","2","44"
" 　營造業","41325","700465","17554","124725","23449","160777","21","120","22","996"
" 　批發及零售業","182448","1482338","1010","32698","180409","1371110","625","3203","162","908"
" 　住宿及餐飲業","10831","341612","13","22059","10684","154003","19","315","11","378"
" 　運輸、倉儲及通信業","11695","495139","5559","151235","5709","91580","34","174","17","4691"
" 　金融及保險業","5984","361283","9","19","4975","263138","70","15328","653","51251"
" 　不動產及租賃業","11158","115429","210","3031","10803","84585","7","748","6","115"
" 　專業、科學及技術服務業","32536","402142","67","9506","22874","256161","115","17244","96","7685"
" 　教育服務業","13097","177352","11","378","255","2354","29","1092","4133","90153"
